molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score
6440,364.49,3.78,3.0,1.0,41.57,6.0,N,0.0,12.32,9.93,4.02,1.53,BASE,364.49,2.0,27.0,0.85,364.2151,C23H28N2O2,4.0,1.0,0.0,-0.46
6441,418.49,2.11,6.0,4.0,138.95,7.0,N,0.0,3.21,8.48,-0.15,-0.18,ACID,418.49,1.0,30.0,0.5,418.2104,C22H30N2O6,8.0,5.0,0.0,1.2
6442,316.4,3.74,2.0,1.0,34.03,4.0,N,0.0,13.85,,3.63,3.63,NEUTRAL,316.4,3.0,24.0,0.61,316.1576,C21H20N2O,3.0,1.0,0.0,-0.74
6443,387.57,5.27,3.0,0.0,18.84,4.0,N,1.0,,9.17,4.68,2.48,BASE,387.57,2.0,29.0,0.71,387.2674,C26H33N3,3.0,0.0,1.0,-0.58
6444,427.55,2.94,7.0,0.0,56.29,8.0,N,0.0,,7.26,3.16,2.93,NEUTRAL,427.55,2.0,31.0,0.6,427.2471,C24H33N3O4,7.0,0.0,0.0,-1.07
6445,346.43,3.75,3.0,1.0,43.26,5.0,N,0.0,13.86,,3.47,3.47,NEUTRAL,346.43,3.0,26.0,0.6,346.1681,C22H22N2O2,4.0,1.0,0.0,-0.72
6446,353.46,4.02,4.0,0.0,30.93,6.0,N,0.0,,9.89,4.54,2.09,BASE,353.46,2.0,26.0,0.78,353.1991,C22H27NO3,4.0,0.0,0.0,-0.2
6447,361.49,4.23,4.0,0.0,38.25,6.0,N,0.0,,9.81,4.24,1.87,BASE,361.49,3.0,27.0,0.66,361.2154,C23H27N3O,4.0,0.0,0.0,-0.58
6448,388.42,0.61,6.0,3.0,127.95,7.0,N,0.0,3.34,8.52,-1.87,-1.9,ZWITTERION,388.42,1.0,28.0,0.58,388.1634,C20H24N2O6,8.0,4.0,0.0,0.76
6449,490.68,7.67,6.0,0.0,82.81,18.0,N,1.0,,,8.66,8.66,NEUTRAL,490.68,1.0,35.0,0.12,490.3294,C29H46O6,6.0,0.0,1.0,0.45
6452,472.7,6.98,3.0,2.0,39.99,3.0,N,1.0,6.96,8.0,7.22,7.33,NEUTRAL,472.7,2.0,34.0,0.29,472.2661,C29H36N4S,4.0,1.0,1.0,-0.64
6453,261.24,3.06,5.0,2.0,108.59,2.0,N,0.0,6.73,,3.33,2.61,NEUTRAL,261.24,2.0,19.0,0.49,261.075,C12H11N3O4,7.0,2.0,0.0,-0.39
6454,318.42,3.93,2.0,1.0,34.03,3.0,N,0.0,,,3.58,3.58,NEUTRAL,318.42,3.0,24.0,0.78,318.1732,C21H22N2O,3.0,1.0,0.0,-0.57
6455,336.43,5.16,3.0,0.0,43.37,5.0,N,1.0,,,6.22,6.22,,336.43,2.0,25.0,0.33,336.1725,C22H24O3,3.0,0.0,1.0,0.06
6456,462.63,6.89,6.0,0.0,82.81,16.0,N,1.0,,,7.77,7.77,NEUTRAL,462.63,1.0,33.0,0.15,462.2981,C27H42O6,6.0,0.0,1.0,0.48
6457,401.49,3.45,7.0,0.0,89.3,6.0,N,0.0,,4.77,2.91,2.9,NEUTRAL,401.49,3.0,28.0,0.46,401.1409,C20H23N3O4S,7.0,0.0,0.0,-0.47
6458,376.5,4.72,3.0,1.0,43.26,6.0,N,0.0,,,4.48,4.48,NEUTRAL,376.5,3.0,28.0,0.68,376.2151,C24H28N2O2,4.0,1.0,0.0,-0.87
6459,260.34,2.39,4.0,1.0,42.85,4.0,N,0.0,,8.57,2.61,1.44,BASE,260.34,1.0,19.0,0.9,260.1525,C15H20N2O2,4.0,1.0,0.0,0.28
6460,295.32,1.8,5.0,3.0,125.61,2.0,N,0.0,6.77,,1.99,1.3,NEUTRAL,295.32,2.0,20.0,0.73,295.0627,C12H13N3O4S,7.0,4.0,0.0,-0.58
6461,309.35,2.06,5.0,3.0,111.62,3.0,N,0.0,6.77,,2.22,1.53,NEUTRAL,309.35,2.0,21.0,0.75,309.0783,C13H15N3O4S,7.0,3.0,0.0,-0.73
6462,310.35,2.29,6.0,0.0,74.97,4.0,N,0.0,,,1.81,1.81,NEUTRAL,310.35,1.0,22.0,0.79,310.1416,C16H22O6,6.0,0.0,0.0,0.02
6463,315.4,2.89,4.0,1.0,73.86,4.0,N,0.0,9.35,4.77,2.59,2.59,NEUTRAL,315.4,3.0,22.0,0.75,315.1041,C16H17N3O2S,5.0,1.0,0.0,-0.71
6464,387.46,2.89,7.0,0.0,89.3,6.0,N,0.0,,4.77,2.68,2.67,NEUTRAL,387.46,3.0,27.0,0.48,387.1253,C19H21N3O4S,7.0,0.0,0.0,-0.52
6465,482.57,4.5,4.0,0.0,49.85,7.0,N,0.0,,9.95,5.66,3.16,BASE,482.57,2.0,33.0,0.58,482.1851,C24H29F3N2O3S,5.0,0.0,0.0,-0.67
6466,582.69,6.72,9.0,0.0,122.27,6.0,N,2.0,,,9.06,9.06,,582.69,2.0,42.0,0.21,582.2829,C33H42O9,9.0,0.0,2.0,-0.17
6467,286.38,4.21,2.0,0.0,15.6,2.0,N,0.0,,8.09,3.73,2.97,NEUTRAL,286.38,2.0,22.0,0.81,286.147,C20H18N2,2.0,0.0,0.0,-0.08
6469,1452.67,,,,,,,,,,,,,1452.67,,,,1451.7125,C75H97N13O17,,,,
6470,339.44,3.68,4.0,1.0,39.72,6.0,N,0.0,,10.36,4.16,1.38,BASE,339.44,2.0,25.0,0.82,339.1834,C21H25NO3,4.0,1.0,0.0,0.08
6471,271.35,2.28,4.0,0.0,53.77,3.0,N,0.0,,2.37,1.95,1.95,NEUTRAL,271.35,3.0,19.0,0.69,271.0779,C14H13N3OS,4.0,0.0,0.0,-1.23
6472,428.6,3.61,4.0,0.0,49.85,7.0,N,0.0,,9.96,3.55,1.04,BASE,428.6,2.0,30.0,0.68,428.2134,C24H32N2O3S,5.0,0.0,0.0,-0.88
6473,418.49,1.37,6.0,4.0,138.95,7.0,N,0.0,3.34,8.52,-1.15,-1.18,ZWITTERION,418.49,1.0,30.0,0.49,418.2104,C22H30N2O6,8.0,5.0,0.0,1.08
6474,316.45,4.95,2.0,0.0,15.6,1.0,N,0.0,,7.9,4.67,4.05,NEUTRAL,316.45,2.0,24.0,0.73,316.1939,C22H24N2,2.0,0.0,0.0,-0.44
6475,450.59,5.52,4.0,1.0,57.59,4.0,N,1.0,13.67,7.59,4.91,4.5,NEUTRAL,450.59,3.0,34.0,0.57,450.242,C29H30N4O,5.0,1.0,1.0,-1.27
6476,1350.54,,,,,,,,,,,,,1350.54,,,,1349.6656,C67H91N13O17,,,,
6477,1297.52,,,,,,,,,,,,,1297.52,,,,1296.6754,C65H92N12O16,,,,
6478,1433.67,,,,,,,,,,,,,1433.67,,,,1432.7279,C73H100N12O18,,,,
6479,364.49,1.97,6.0,0.0,43.4,7.0,N,0.0,,7.85,1.9,1.31,NEUTRAL,364.49,1.0,26.0,0.69,364.2362,C20H32N2O4,6.0,0.0,0.0,-0.47
6480,468.37,2.11,9.0,3.0,173.71,8.0,N,0.0,1.55,,1.48,-5.57,ACID,512.33,4.0,34.0,0.35,468.0693,C23H14Na2O11,11.0,3.0,1.0,0.22
6481,367.56,4.94,3.0,0.0,12.47,6.0,N,0.0,,9.98,5.48,2.95,BASE,367.56,2.0,26.0,0.72,367.197,C23H29NOS,2.0,0.0,0.0,-0.51
6482,349.52,4.78,2.0,0.0,12.47,6.0,N,0.0,,10.04,5.93,3.34,BASE,349.52,2.0,26.0,0.74,349.2406,C24H31NO,2.0,0.0,0.0,-0.38
6483,380.53,5.87,5.0,1.0,76.74,16.0,N,1.0,9.24,,6.42,6.41,NEUTRAL,380.53,1.0,27.0,0.29,380.2563,C22H36O5,5.0,1.0,1.0,0.52
6484,520.75,8.68,6.0,0.0,82.81,21.0,N,2.0,,,9.91,9.91,NEUTRAL,520.75,1.0,37.0,0.12,520.3764,C31H52O6,6.0,0.0,2.0,0.14
6485,519.48,7.9,3.0,2.0,56.73,3.0,N,2.0,10.83,7.57,7.02,6.63,NEUTRAL,519.48,3.0,36.0,0.37,518.164,C29H28Cl2N4O,5.0,2.0,2.0,-1.29
6486,362.47,4.33,3.0,1.0,43.26,5.0,N,0.0,,,3.78,3.78,NEUTRAL,362.47,3.0,27.0,0.73,362.1994,C23H26N2O2,4.0,1.0,0.0,-0.75
6487,1458.46,,,,,,,,,,,,,1458.46,,,,1456.5873,C70H90Cl2N12O18,,,,
6488,274.37,3.74,2.0,0.0,15.6,2.0,N,0.0,,8.56,3.56,2.39,BASE,274.37,2.0,21.0,0.81,274.147,C19H18N2,2.0,0.0,0.0,0.09
6489,294.79,4.3,2.0,0.0,15.6,1.0,N,0.0,,7.86,3.72,3.14,NEUTRAL,294.79,2.0,21.0,0.77,294.0924,C18H15ClN2,2.0,0.0,0.0,-0.47
6490,260.34,3.65,2.0,0.0,15.6,1.0,N,0.0,,7.87,3.12,2.53,NEUTRAL,260.34,2.0,20.0,0.76,260.1313,C18H16N2,2.0,0.0,0.0,-0.2
6491,360.5,4.84,3.0,0.0,25.36,6.0,N,0.0,,9.9,5.08,2.61,BASE,360.5,3.0,27.0,0.63,360.2202,C24H28N2O,3.0,0.0,0.0,-0.62
6492,360.5,4.84,3.0,0.0,25.36,6.0,N,0.0,,9.88,4.69,2.24,BASE,360.5,3.0,27.0,0.63,360.2202,C24H28N2O,3.0,0.0,0.0,-0.44
6493,492.7,7.9,6.0,0.0,82.81,19.0,N,1.0,,,9.02,9.02,NEUTRAL,492.7,1.0,35.0,0.14,492.3451,C29H48O6,6.0,0.0,1.0,0.15
6494,381.55,4.48,5.0,1.0,51.38,6.0,N,0.0,,9.81,4.91,2.53,BASE,381.55,3.0,27.0,0.68,381.1875,C22H27N3OS,4.0,2.0,0.0,-1.0
6495,388.51,4.72,3.0,1.0,43.26,5.0,N,0.0,,,4.65,4.65,NEUTRAL,388.51,3.0,29.0,0.69,388.2151,C25H28N2O2,4.0,1.0,0.0,-0.78
6496,482.57,5.77,7.0,0.0,95.97,5.0,N,1.0,,,7.65,7.65,,482.57,2.0,35.0,0.3,482.2305,C28H34O7,7.0,0.0,1.0,-0.29
6497,414.68,6.45,2.0,3.0,70.1,4.0,N,1.0,,12.87,4.88,2.46,BASE,564.76,0.0,30.0,0.28,414.361,C28H47F3N2O4S,3.0,4.0,1.0,3.09
6499,430.45,3.9,8.0,0.0,109.11,5.0,N,0.0,,,5.11,5.11,NEUTRAL,430.45,2.0,31.0,0.52,430.1628,C23H26O8,8.0,0.0,0.0,-0.2
6500,310.35,2.68,6.0,0.0,82.81,3.0,N,0.0,,,3.45,3.45,NEUTRAL,310.35,1.0,22.0,0.8,310.1416,C16H22O6,6.0,0.0,0.0,0.11
6501,226.23,1.08,5.0,1.0,76.74,2.0,N,0.0,,,1.21,1.21,NEUTRAL,226.23,1.0,16.0,0.76,226.0841,C11H14O5,5.0,1.0,0.0,0.44
6502,380.56,5.21,4.0,0.0,25.36,6.0,N,1.0,,9.8,5.18,2.81,BASE,380.56,3.0,27.0,0.59,380.1922,C23H28N2OS,3.0,0.0,1.0,-1.11
6503,374.48,4.33,3.0,1.0,43.26,5.0,N,0.0,,,4.2,4.2,NEUTRAL,374.48,3.0,28.0,0.72,374.1994,C24H26N2O2,4.0,1.0,0.0,-0.68
6504,334.39,3.18,5.0,1.0,80.67,3.0,N,0.0,7.72,,4.03,3.86,NEUTRAL,334.39,2.0,23.0,0.69,334.0875,C17H18O5S,5.0,1.0,0.0,-0.47
6505,511.71,8.15,3.0,0.0,18.84,6.0,N,2.0,,8.02,8.22,7.52,NEUTRAL,511.71,4.0,39.0,0.26,511.2987,C36H37N3,3.0,0.0,2.0,-0.54
6507,1299.49,,,,,,,,,,,,,1299.49,,,,1298.6547,C64H90N12O17,,,,
6508,518.74,8.45,6.0,0.0,82.81,20.0,N,2.0,,,9.55,9.55,NEUTRAL,518.74,1.0,37.0,0.1,518.3607,C31H50O6,6.0,0.0,2.0,0.43
6509,453.66,5.91,6.0,0.0,53.77,8.0,N,1.0,11.08,2.86,5.42,5.42,NEUTRAL,453.66,4.0,30.0,0.25,453.1003,C23H23N3OS3,4.0,0.0,1.0,-1.03
6510,442.65,4.65,6.0,0.0,57.01,8.0,N,0.0,13.04,7.75,4.21,3.7,NEUTRAL,442.65,3.0,30.0,0.38,442.1861,C23H30N4OS2,5.0,0.0,0.0,-1.24
6511,350.51,3.89,3.0,1.0,24.5,6.0,N,0.0,,9.98,4.23,0.28,BASE,350.51,2.0,26.0,0.86,350.2358,C23H30N2O,3.0,1.0,0.0,-0.21
6512,362.47,4.33,3.0,1.0,43.26,6.0,N,0.0,,,4.12,4.12,NEUTRAL,362.47,3.0,27.0,0.71,362.1994,C23H26N2O2,4.0,1.0,0.0,-0.52
6513,478.67,7.51,6.0,0.0,82.81,20.0,N,1.0,,,8.46,8.46,NEUTRAL,478.67,1.0,34.0,0.14,478.3294,C28H46O6,6.0,0.0,1.0,0.27
6514,531.44,4.21,7.0,0.0,69.06,7.0,N,1.0,,6.42,4.19,4.16,NEUTRAL,531.44,3.0,36.0,0.46,530.1488,C26H28Cl2N4O4,8.0,0.0,1.0,-0.77
6515,1285.46,,,,,,,,,,,,,1285.46,,,,1284.639,C63H88N12O17,,,,
6516,1425.6,,,,,,,,,,,,,1425.6,,,,1424.6653,C73H92N12O18,,,,
6517,510.6,5.25,9.0,0.0,123.21,8.0,N,2.0,11.37,2.86,4.72,4.72,NEUTRAL,510.6,4.0,35.0,0.14,510.1032,C24H22N4O5S2,9.0,0.0,2.0,-1.05
6518,451.57,5.21,7.0,0.0,80.07,6.0,N,1.0,11.37,2.86,4.71,4.71,NEUTRAL,451.57,4.0,31.0,0.3,451.1024,C23H21N3O3S2,6.0,0.0,1.0,-0.87
6519,482.57,4.5,4.0,0.0,49.85,7.0,N,0.0,,9.98,5.66,3.13,BASE,482.57,2.0,33.0,0.58,482.1851,C24H29F3N2O3S,5.0,0.0,0.0,-0.74
6521,257.32,2.27,3.0,1.0,64.63,3.0,N,0.0,9.35,2.38,1.72,1.72,NEUTRAL,257.32,3.0,18.0,0.73,257.0623,C13H11N3OS,4.0,1.0,0.0,-1.11
6522,329.43,3.29,5.0,0.0,63.0,6.0,N,0.0,,2.37,2.6,2.6,NEUTRAL,329.43,3.0,23.0,0.65,329.1198,C17H19N3O2S,5.0,0.0,0.0,-1.02
6524,331.46,4.53,3.0,1.0,41.62,1.0,N,0.0,,8.07,3.84,3.09,NEUTRAL,331.46,2.0,25.0,0.78,331.2048,C22H25N3,3.0,2.0,0.0,-0.4
6525,364.49,4.74,4.0,0.0,38.5,6.0,N,0.0,,9.74,4.39,2.07,BASE,364.49,3.0,27.0,0.63,364.2151,C23H28N2O2,4.0,0.0,0.0,-0.62
6526,350.46,4.43,4.0,0.0,38.5,6.0,N,0.0,,9.74,4.26,1.96,BASE,350.46,3.0,26.0,0.66,350.1994,C22H26N2O2,4.0,0.0,0.0,-0.33
6527,368.43,4.13,4.0,1.0,80.67,6.0,N,0.0,3.87,,5.46,2.23,ACID,368.43,2.0,27.0,0.47,368.1624,C22H24O5,5.0,1.0,0.0,0.05
6528,487.69,6.5,7.0,0.0,80.07,12.0,N,1.0,11.37,2.86,6.16,6.16,NEUTRAL,487.69,3.0,33.0,0.16,487.1963,C25H33N3O3S2,6.0,0.0,1.0,-0.64
6529,366.53,4.9,4.0,0.0,25.36,6.0,N,0.0,,9.8,5.06,2.69,BASE,366.53,3.0,26.0,0.62,366.1766,C22H26N2OS,3.0,0.0,0.0,-0.92
6530,630.69,5.8,12.0,0.0,161.71,7.0,N,3.0,,,7.93,7.93,NEUTRAL,630.69,2.0,45.0,0.27,630.2676,C33H42O12,12.0,0.0,3.0,0.08
6532,316.78,4.52,3.0,0.0,43.37,3.0,N,0.0,,,5.44,5.44,,316.78,2.0,22.0,0.47,316.0866,C18H17ClO3,3.0,0.0,0.0,-0.61
6533,1375.54,,,,,,,,,,,,,1375.54,,,,1374.6496,C69H90N12O18,,,,
6534,1430.45,,,,,,,,,,,,,1430.45,,,,1428.5924,C69H90Cl2N12O17,,,,
6535,430.45,3.9,8.0,0.0,109.11,5.0,N,0.0,,,5.11,5.11,NEUTRAL,430.45,2.0,31.0,0.52,430.1628,C23H26O8,8.0,0.0,0.0,-0.12
6536,468.55,6.1,5.0,0.0,65.74,7.0,N,1.0,,,7.01,7.01,NEUTRAL,468.55,4.0,35.0,0.24,468.1937,C30H28O5,5.0,0.0,1.0,-0.08
6537,352.43,4.25,4.0,0.0,60.44,6.0,N,0.0,,,5.31,5.31,NEUTRAL,352.43,2.0,26.0,0.34,352.1675,C22H24O4,4.0,0.0,0.0,0.23
6538,428.56,2.7,7.0,0.0,75.47,7.0,N,0.0,,5.67,2.62,2.61,NEUTRAL,428.56,3.0,30.0,0.54,428.1882,C22H28N4O3S,7.0,0.0,0.0,-1.2
6539,340.38,2.38,6.0,1.0,61.31,5.0,N,0.0,,7.05,2.94,2.78,NEUTRAL,340.38,2.0,25.0,0.91,340.1423,C19H20N2O4,6.0,1.0,0.0,0.07
6540,348.45,3.94,3.0,1.0,43.26,5.0,N,0.0,,,3.68,3.68,NEUTRAL,348.45,3.0,26.0,0.76,348.1838,C22H24N2O2,4.0,1.0,0.0,-0.58
6541,417.56,4.24,7.0,0.0,80.07,7.0,N,0.0,13.12,2.86,3.43,3.43,NEUTRAL,417.56,3.0,28.0,0.32,417.1181,C20H23N3O3S2,6.0,0.0,0.0,-0.67
6542,272.35,3.05,4.0,2.0,53.85,6.0,N,0.0,6.53,9.25,1.73,1.7,BASE,272.35,2.0,20.0,0.48,272.1525,C16H20N2O2,4.0,2.0,0.0,-0.58
6543,391.59,4.48,6.0,0.0,53.77,7.0,N,0.0,11.08,2.86,4.04,4.04,NEUTRAL,391.59,3.0,25.0,0.44,391.0847,C18H21N3OS3,4.0,0.0,0.0,-1.11
6544,403.57,4.71,6.0,0.0,63.0,8.0,N,0.0,13.68,2.86,3.99,3.99,NEUTRAL,403.57,3.0,27.0,0.4,403.1388,C20H25N3O2S2,5.0,0.0,0.0,-0.92
6545,356.45,3.03,6.0,0.0,63.0,5.0,N,0.0,,4.36,1.86,1.86,NEUTRAL,356.45,3.0,25.0,0.4,356.1307,C18H20N4O2S,6.0,0.0,0.0,-1.8
6546,428.6,3.61,4.0,0.0,49.85,7.0,N,0.0,,9.99,3.55,1.02,BASE,428.6,2.0,30.0,0.68,428.2134,C24H32N2O3S,5.0,0.0,0.0,-0.96
6547,464.64,6.97,6.0,0.0,82.81,15.0,N,1.0,,,8.34,8.34,NEUTRAL,464.64,1.0,33.0,0.21,464.3138,C27H44O6,6.0,0.0,1.0,0.29
6548,419.57,3.78,7.0,0.0,72.23,10.0,N,0.0,13.69,2.86,3.36,3.36,NEUTRAL,419.57,3.0,28.0,0.28,419.1337,C20H25N3O3S2,6.0,0.0,0.0,-1.09
6551,471.52,1.48,9.0,7.0,205.58,10.0,N,1.0,3.47,8.14,-1.11,-4.68,ACID,471.52,2.0,34.0,0.26,471.223,C22H29N7O5,12.0,9.0,2.0,0.22
6552,446.79,8.26,2.0,1.0,20.23,5.0,N,1.0,,,7.26,7.26,NEUTRAL,446.79,0.0,31.0,0.43,446.3582,C29H50OS,1.0,1.0,1.0,2.68
6553,318.42,4.13,2.0,1.0,34.03,5.0,N,0.0,13.85,,3.99,3.99,NEUTRAL,318.42,3.0,24.0,0.59,318.1732,C21H22N2O,3.0,1.0,0.0,-0.53
6554,465.6,5.34,7.0,0.0,80.07,7.0,N,1.0,11.37,2.86,4.78,4.78,NEUTRAL,465.6,4.0,32.0,0.27,465.1181,C24H23N3O3S2,6.0,0.0,1.0,-0.83
6555,431.58,4.8,7.0,0.0,80.07,7.0,N,0.0,11.37,2.86,4.3,4.3,NEUTRAL,431.58,3.0,29.0,0.39,431.1337,C21H25N3O3S2,6.0,0.0,0.0,-0.9
6556,420.48,2.54,5.0,3.0,118.72,7.0,N,0.0,3.25,8.52,0.3,0.27,ZWITTERION,420.48,1.0,30.0,0.58,420.2061,C22H29FN2O5,7.0,4.0,0.0,0.79
6557,375.52,3.76,6.0,0.0,63.0,7.0,N,0.0,13.69,2.86,3.4,3.4,NEUTRAL,375.52,3.0,25.0,0.46,375.1075,C18H21N3O2S2,5.0,0.0,0.0,-0.97
6558,417.56,4.55,7.0,0.0,80.07,6.0,N,0.0,11.37,2.86,3.83,3.83,NEUTRAL,417.56,3.0,28.0,0.43,417.1181,C20H23N3O3S2,6.0,0.0,0.0,-0.91
6559,367.49,4.41,4.0,0.0,30.93,7.0,N,0.0,,9.89,4.9,2.45,BASE,367.49,2.0,27.0,0.73,367.2147,C23H29NO3,4.0,0.0,0.0,-0.44
6560,496.33,6.41,5.0,0.0,47.48,6.0,N,1.0,,1.34,6.24,6.24,NEUTRAL,496.33,3.0,31.0,0.39,495.0769,C22H21BrF3N3O2,5.0,0.0,1.0,-0.81
6561,360.41,1.38,5.0,3.0,118.72,7.0,N,0.0,3.34,8.52,-0.96,-0.99,ZWITTERION,360.41,1.0,26.0,0.63,360.1685,C19H24N2O5,7.0,4.0,0.0,0.29
6562,400.98,5.55,4.0,0.0,25.36,6.0,N,1.0,,9.8,5.97,3.61,BASE,400.98,3.0,27.0,0.54,400.1376,C22H25ClN2OS,3.0,0.0,1.0,-0.97
6563,397.54,4.05,4.0,0.0,46.61,6.0,N,0.0,,8.38,4.12,3.1,NEUTRAL,397.54,2.0,28.0,0.74,397.1712,C23H27NO3S,4.0,0.0,0.0,-0.28
6564,436.43,4.37,2.0,1.0,40.54,1.0,N,0.0,,,3.91,3.91,NEUTRAL,436.43,0.0,27.0,0.49,435.1773,C23H34BrNO2,3.0,1.0,0.0,1.39
6565,371.52,2.74,3.0,2.0,60.77,1.0,N,0.0,,,2.37,2.37,NEUTRAL,371.52,0.0,27.0,0.7,371.246,C23H33NO3,4.0,2.0,0.0,1.7
6566,478.36,7.51,3.0,0.0,29.02,5.0,N,1.0,,2.16,7.8,7.8,NEUTRAL,478.36,3.0,30.0,0.38,477.1027,C23H23BrF3N3,3.0,0.0,1.0,-1.15
6567,455.36,6.4,5.0,0.0,72.16,6.0,N,1.0,,1.1,6.87,6.87,NEUTRAL,455.36,3.0,29.0,0.32,454.1004,C22H23BrN4O2,6.0,0.0,1.0,-1.11
6568,413.54,4.6,6.0,0.0,80.07,11.0,N,0.0,,2.37,4.73,4.73,NEUTRAL,413.54,3.0,29.0,0.26,413.1773,C22H27N3O3S,6.0,0.0,0.0,-0.7
6569,370.48,2.07,6.0,0.0,66.24,6.0,N,0.0,,5.61,1.75,1.74,NEUTRAL,370.48,3.0,26.0,0.62,370.1463,C19H22N4O2S,6.0,0.0,0.0,-1.55
6570,382.46,4.82,5.0,0.0,69.67,4.0,N,0.0,,,6.25,6.25,,382.46,2.0,28.0,0.43,382.178,C23H26O5,5.0,0.0,0.0,-0.24
6571,382.46,4.82,5.0,0.0,69.67,4.0,N,0.0,,,6.25,6.25,,382.46,2.0,28.0,0.43,382.178,C23H26O5,5.0,0.0,0.0,-0.37
6572,390.48,2.4,5.0,3.0,118.72,7.0,N,0.0,3.34,8.53,0.33,0.31,ZWITTERION,390.48,1.0,28.0,0.62,390.2155,C21H30N2O5,7.0,4.0,0.0,0.63
6573,394.49,1.86,6.0,3.0,118.72,7.0,N,0.0,3.34,8.52,-0.8,-0.82,ZWITTERION,394.49,1.0,27.0,0.6,394.1562,C19H26N2O5S,7.0,4.0,0.0,0.35
6574,478.36,7.51,3.0,0.0,29.02,5.0,N,1.0,,1.78,7.8,7.8,NEUTRAL,478.36,3.0,30.0,0.38,477.1027,C23H23BrF3N3,3.0,0.0,1.0,-1.06
6575,385.49,3.85,6.0,0.0,80.07,5.0,N,0.0,,2.36,3.84,3.84,NEUTRAL,385.49,3.0,27.0,0.49,385.146,C20H23N3O3S,6.0,0.0,0.0,-0.86
6576,428.6,3.56,4.0,0.0,49.85,7.0,N,0.0,,9.94,3.33,0.83,BASE,428.6,2.0,30.0,0.68,428.2134,C24H32N2O3S,5.0,0.0,0.0,-0.78
6577,334.42,3.55,3.0,1.0,43.26,4.0,N,0.0,,,2.98,2.98,NEUTRAL,334.42,3.0,25.0,0.79,334.1681,C21H22N2O2,4.0,1.0,0.0,-0.43
6578,478.4,5.68,6.0,1.0,83.48,6.0,N,1.0,5.8,1.75,6.74,5.45,ACID,478.4,4.0,31.0,0.38,477.1277,C23H24BrN7,7.0,1.0,1.0,-1.1
6579,319.88,4.81,3.0,1.0,28.16,8.0,N,0.0,,10.32,3.93,0.88,BASE,319.88,2.0,22.0,0.76,319.1815,C18H26ClN3,3.0,1.0,0.0,-1.27
6580,453.46,0.98,9.0,5.0,207.3,9.0,N,0.0,3.27,2.85,0.53,-5.78,ACID,453.46,3.0,33.0,0.31,453.1761,C21H23N7O5,12.0,7.0,2.0,-0.21
6581,403.57,4.2,6.0,0.0,63.0,9.0,N,0.0,13.58,2.86,3.65,3.65,NEUTRAL,403.57,3.0,27.0,0.3,403.1388,C20H25N3O2S2,5.0,0.0,0.0,-1.31
6582,350.51,4.26,3.0,1.0,24.5,6.0,N,0.0,,10.1,4.43,1.79,BASE,350.51,2.0,26.0,0.84,350.2358,C23H30N2O,3.0,1.0,0.0,-0.27
6583,388.46,3.46,6.0,0.0,74.97,5.0,N,0.0,,,2.62,2.62,NEUTRAL,388.46,1.0,28.0,0.72,388.1886,C22H28O6,6.0,0.0,0.0,-0.02
6584,406.43,4.62,6.0,0.0,82.81,5.0,N,0.0,,,5.35,5.35,NEUTRAL,406.43,3.0,30.0,0.58,406.1416,C24H22O6,6.0,0.0,0.0,-0.16
6585,497.46,4.8,2.0,1.0,40.54,2.0,N,0.0,,,4.79,4.79,NEUTRAL,497.46,0.0,28.0,0.26,497.1791,C24H36INO2,3.0,1.0,0.0,1.43
6586,450.46,4.76,2.0,1.0,40.54,2.0,N,0.0,,,4.36,4.36,NEUTRAL,450.46,0.0,28.0,0.37,449.1929,C24H36BrNO2,3.0,1.0,0.0,1.42
6587,483.51,5.32,4.0,3.0,103.79,9.0,N,1.0,3.17,,4.76,0.91,ACID,483.51,5.0,35.0,0.25,483.1824,C27H26N5O2P,7.0,3.0,1.0,-0.63
6588,358.34,2.76,4.0,3.0,111.99,7.0,N,0.0,1.81,,2.26,-1.64,ACID,358.34,3.0,25.0,0.56,358.1195,C17H19N4O3P,7.0,3.0,0.0,-0.63
6589,351.49,4.32,3.0,0.0,21.7,6.0,N,0.0,,9.93,4.55,2.06,BASE,351.49,2.0,26.0,0.77,351.2198,C23H29NO2,3.0,0.0,0.0,-0.36
6590,349.47,5.04,3.0,0.0,25.61,6.0,N,1.0,,9.85,5.08,2.66,BASE,349.47,3.0,26.0,0.62,349.2042,C23H27NO2,3.0,0.0,1.0,-0.05
6591,464.64,7.12,6.0,0.0,82.81,17.0,N,1.0,,,8.13,8.13,NEUTRAL,464.64,1.0,33.0,0.18,464.3138,C27H44O6,6.0,0.0,1.0,0.16
6592,354.4,4.04,5.0,0.0,69.67,6.0,N,0.0,,,5.13,5.13,,354.4,2.0,26.0,0.44,354.1467,C21H22O5,5.0,0.0,0.0,-0.14
6593,354.45,2.65,4.0,2.0,65.56,1.0,N,0.0,,7.22,2.1,1.88,NEUTRAL,354.45,2.0,26.0,0.77,354.1943,C21H26N2O3,5.0,2.0,0.0,1.17
6594,268.31,3.48,3.0,0.0,43.37,4.0,N,0.0,,,4.28,4.28,,268.31,2.0,20.0,0.48,268.1099,C17H16O3,3.0,0.0,0.0,-0.26
